loan_uuid,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_owner,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
3902f52a-cb03-4efd-aad2-4c05be390687,a,male,High School,148572,13,RENT,12000,MEDICAL,11.83,0.08,7,690,no,0
39041709-c233-4ae5-8caa-79ea5cf39816,a,female,Associate,47772,1,RENT,10000,PERSONAL,11.99,0.21,3,657,no,1
3906c9a2-4468-4c57-ac04-c3b0b5721601,a,female,Associate,42454,0,RENT,3000,EDUCATION,13.71,0.07,3,570,yes,0
390762fe-8a07-42ad-8feb-01cabb002239,a,female,Bachelor,117068,12,MORTGAGE,7000,DEBTCONSOLIDATION,8,0.06,6,714,yes,0
3909aaa3-96ea-483b-bb94-65627eb51683,a,male,Associate,80361,5,RENT,5000,MEDICAL,5.79,0.06,9,680,yes,0
3909c5af-03d7-40cb-9a16-83235fa1e9cd,a,male,Associate,91016,1,RENT,5000,VENTURE,11.01,0.05,3,650,yes,0
390a39fe-ed97-4da7-90bd-ae5d1ab97e4b,a,female,Associate,52785,8,RENT,1600,EDUCATION,13.49,0.03,10,708,no,0
390a8a68-a56f-4a63-85d5-4f468986faea,a,male,Bachelor,133196,11,MORTGAGE,6000,EDUCATION,9.45,0.05,6,667,no,0
3913bdac-b532-4241-a9d8-0bac9c78acb9,a,male,Master,39682,7,RENT,9000,PERSONAL,15.62,0.23,10,671,no,1
3913e0dc-01c2-495b-9311-558770d023de,a,male,Master,51586,5,OWN,4000,PERSONAL,15.23,0.08,9,598,yes,0
391459e4-e4ef-4384-b4c0-f03b2562242c,a,male,Master,23030,6,RENT,3200,PERSONAL,10.14,0.14,7,701,no,1
39152351-891b-4a3e-98cc-1cca361824bc,a,female,Bachelor,8000,0,RENT,1800,PERSONAL,14.84,0.22,2,643,no,1
39165cab-c633-41e6-a8fa-1a1406a9f6e9,a,male,Master,70564,3,MORTGAGE,6000,HOMEIMPROVEMENT,5.42,0.09,4,635,yes,0
3916888e-3594-4be8-9498-e65536f0b755,a,female,Bachelor,55813,0,RENT,2500,VENTURE,18.64,0.04,4,674,no,1
3916cb26-8c19-4eba-aea3-ef34ab9dcb02,a,female,Doctorate,171736,3,MORTGAGE,4741,VENTURE,13.02,0.03,8,663,yes,0
3916e9ae-3c04-4984-931d-59d2101077b3,a,female,Bachelor,94747,4,RENT,18000,EDUCATION,13.49,0.19,2,672,no,0
391727cc-5837-4d2b-ab05-c8b1ffb1231d,a,male,Bachelor,85131,4,MORTGAGE,6000,PERSONAL,13.16,0.07,4,660,no,0
3917e966-26c0-4c47-89b2-629832c3ee5b,a,male,Bachelor,73406,0,RENT,6325,DEBTCONSOLIDATION,7.51,0.09,3,642,yes,0
3918738a-65b4-4e29-bce5-9f85456fe2d8,a,female,Associate,41671,25,MORTGAGE,7000,PERSONAL,7.49,0.17,13,620,yes,0
391959d1-fb01-47d7-86c2-b1e6854d1e23,a,male,High School,58495,4,OWN,6000,MEDICAL,5.42,0.1,9,632,yes,0
39196cb3-0b0c-46d0-8cd3-77201d7aafd0,a,male,Associate,37251,5,MORTGAGE,6500,MEDICAL,8.59,0.17,10,695,no,0
3920e915-6917-4bb2-aac8-c05cc80cd2b1,a,male,High School,54160,0,MORTGAGE,3500,PERSONAL,5.99,0.06,2,618,yes,0
39232106-9850-4736-bf59-4cf6b009f165,a,female,Bachelor,33597,0,RENT,2925,DEBTCONSOLIDATION,10.71,0.09,3,694,no,0
392341c5-7329-4d60-989d-ddc273845b65,a,female,Associate,44013,1,RENT,5300,EDUCATION,15.28,0.12,3,662,yes,0
3923c5fe-1345-4259-b13b-ff1b9e15d433,a,male,Master,116123,3,MORTGAGE,18000,EDUCATION,13.49,0.16,7,681,yes,0
3923f07f-9ec1-4e45-bad8-1d6fc65b882e,a,male,Associate,68117,6,RENT,20000,EDUCATION,18.49,0.29,7,669,no,1
392416be-3d18-44c8-a6bf-9dbd0a012a5e,a,male,Associate,56844,1,RENT,22500,EDUCATION,14.96,0.4,9,600,no,1
392627d6-0e0e-4cd2-ba5d-fd54eeba25b0,a,male,High School,75370,6,MORTGAGE,3275,HOMEIMPROVEMENT,9.33,0.04,8,601,yes,0
39265234-18f2-4b26-969a-37e1fd5589d4,a,female,Bachelor,45511,12,RENT,2000,DEBTCONSOLIDATION,11.26,0.04,10,623,yes,0
39281c74-84c9-4429-b586-1deee09b801e,a,male,Associate,78063,4,MORTGAGE,4500,MEDICAL,8.94,0.06,2,520,yes,0
3929b85b-4d41-4b9b-b1dc-93515ac563ff,a,female,High School,37986,0,RENT,6000,MEDICAL,6.03,0.16,3,562,yes,0
3929da28-9dda-4308-8793-c12b4f3dc55f,a,male,Bachelor,178543,25,RENT,24417,DEBTCONSOLIDATION,12.27,0.14,13,677,no,1
