person_age,person_gender,person_education,person_income,person_emp_exp,person_home_owner,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
26,male,High School,46470,3,MORTGAGE,8500,VENTURE,6.46,0.18,8,642,yes,0
28,female,High School,86775,7,MORTGAGE,9800,VENTURE,12.21,0.11,5,625,yes,0
22,male,Associate,37347,0,OWN,7200,MEDICAL,10.99,0.19,2,559,yes,0
30,male,Bachelor,60715,2,MORTGAGE,5000,MEDICAL,11,0.08,6,621,yes,0
25,male,Bachelor,120866,1,RENT,20000,HOMEIMPROVEMENT,13.06,0.17,2,563,yes,0
24,female,Associate,70409,1,RENT,8000,VENTURE,10.62,0.11,2,620,yes,0
22,female,High School,33478,0,RENT,2800,MEDICAL,7.51,0.08,3,600,no,1
28,male,Master,72697,7,MORTGAGE,15000,EDUCATION,11.99,0.21,5,618,yes,0
30,male,Bachelor,45805,7,RENT,2600,EDUCATION,9.25,0.06,7,504,yes,0
23,male,Master,83985,1,RENT,1000,MEDICAL,7.29,0.01,3,698,no,0
34,female,Bachelor,55979,12,MORTGAGE,10000,VENTURE,6.62,0.18,6,637,yes,0
30,female,Bachelor,42637,8,RENT,2629,DEBTCONSOLIDATION,11.85,0.06,4,735,yes,0
24,male,Bachelor,40727,0,OWN,12250,VENTURE,13.11,0.3,4,527,yes,0
25,male,High School,19415,3,RENT,4750,PERSONAL,13.85,0.24,4,634,no,1
25,female,Associate,94903,2,RENT,10000,VENTURE,5.79,0.11,3,543,no,0
27,male,Master,98473,7,OWN,9000,VENTURE,13.43,0.09,9,587,no,0
24,male,Master,29713,2,OWN,6000,MEDICAL,14.56,0.2,3,688,no,0
23,male,Associate,85055,3,RENT,12000,MEDICAL,12.42,0.14,4,543,yes,0
34,male,Associate,77596,13,MORTGAGE,8000,HOMEIMPROVEMENT,6.91,0.1,6,690,yes,0
34,male,Master,54039,12,MORTGAGE,4000,MEDICAL,15.95,0.07,9,614,no,1
23,male,Bachelor,35645,3,OWN,2000,VENTURE,13.16,0.06,3,542,no,0
28,male,High School,36703,5,RENT,14800,MEDICAL,11.14,0.4,7,631,no,1
29,male,Associate,66419,11,MORTGAGE,4275,PERSONAL,11.01,0.06,5,672,yes,0
30,female,Master,51330,8,RENT,1850,VENTURE,11.99,0.04,5,700,yes,0
25,male,Associate,94917,2,MORTGAGE,25000,MEDICAL,9.64,0.26,4,628,yes,0
38,male,Bachelor,63903,16,RENT,6532,HOMEIMPROVEMENT,14.14,0.1,16,754,no,1
26,male,High School,78943,6,MORTGAGE,10950,HOMEIMPROVEMENT,7.88,0.14,2,647,no,0
24,female,Associate,66881,3,RENT,8000,PERSONAL,16.9,0.12,4,549,no,1
38,male,Associate,12742,16,RENT,2200,EDUCATION,9.63,0.17,17,677,no,1
31,male,Associate,90817,10,MORTGAGE,13800,DEBTCONSOLIDATION,11.01,0.15,9,584,yes,0
24,male,High School,91206,3,RENT,6000,VENTURE,8.03,0.07,3,662,no,0
22,male,Associate,90951,1,MORTGAGE,6000,DEBTCONSOLIDATION,7.74,0.07,4,552,yes,0
26,female,High School,116491,0,RENT,10000,EDUCATION,15.28,0.09,2,605,no,1
32,female,High School,97066,8,RENT,6000,PERSONAL,11.01,0.06,6,599,no,0
30,male,Bachelor,279481,8,MORTGAGE,25000,MEDICAL,17.93,0.09,9,689,no,1
23,male,Associate,27680,0,RENT,3200,MEDICAL,12.69,0.12,4,642,no,0
24,male,Bachelor,89982,2,RENT,4500,PERSONAL,12.18,0.05,4,612,yes,0
39,female,Bachelor,54917,21,MORTGAGE,3000,PERSONAL,7.9,0.05,15,682,no,0
24,male,High School,55019,1,RENT,12000,VENTURE,10.99,0.22,3,569,yes,0
33,male,Bachelor,120617,13,MORTGAGE,6400,DEBTCONSOLIDATION,7.29,0.05,9,520,yes,0
56,male,Bachelor,87228,35,OWN,7425,PERSONAL,9.99,0.09,22,628,yes,0
22,male,Bachelor,40329,0,RENT,1400,MEDICAL,14.27,0.03,4,682,yes,0
26,male,Master,54047,3,OWN,5000,VENTURE,11.01,0.09,2,681,no,0
32,male,Associate,58796,10,OWN,8000,EDUCATION,5.79,0.14,7,654,no,0
27,male,Bachelor,52470,2,MORTGAGE,3600,EDUCATION,14.68,0.07,4,700,no,0
37,male,Associate,91062,12,MORTGAGE,6000,MEDICAL,6.03,0.07,11,690,yes,0
32,male,Bachelor,55110,11,MORTGAGE,6400,MEDICAL,7.49,0.12,9,636,no,0
