loan_uuid,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_owner,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status,
71e632a6-75b7-458f-922c-1ba9be0d26df,25,female,Bachelor,75831,2,RENT,2000,HOMEIMPROVEMENT,13.07,0.03,3,615,no,0,
71e6dd8a-ff52-4718-87ef-83e303ed5c5d,33,male,Bachelor,120539,11,MORTGAGE,7000,VENTURE,11.01,0.06,6,633,no,0,
71e700b5-9c4d-4675-a6b5-08bdf93533c6,25,male,High School,281967,6,MORTGAGE,20032,HOMEIMPROVEMENT,8.89,0.07,5,610,yes,0,
71e724e7-789a-4b8a-92bc-1cdbde441f36,25,male,Bachelor,53651,1,RENT,9000,MEDICAL,7.29,0.17,3,628,yes,0,
71eb1c11-f879-43f3-a7ff-2c8722cd3af5,25,male,Master,68064,1,RENT,8000,VENTURE,5.99,0.12,2,603,no,0,
71ee5457-06a7-4bb7-a3ad-455f5793a855,22,female,Associate,29616,3,RENT,1500,EDUCATION,18.79,0.05,3,635,no,1,
71ee82f2-b3aa-48cb-a2e9-3922f1b104ee,23,female,Bachelor,66895,1,RENT,4000,MEDICAL,12.53,0.06,2,555,no,0,
71f208c2-7291-49bb-858a-5b354e6ab259,45,male,Bachelor,80390,24,MORTGAGE,9000,EDUCATION,14.59,0.11,15,731,yes,0,
71f271b4-21d4-48e2-bc25-9ce048f957e0,26,female,High School,76579,1,RENT,7997,VENTURE,12.5,0.1,3,644,yes,0,
71f30142-f5a0-4760-8928-44bc3a4232f2,22,female,Associate,83878,1,MORTGAGE,10000,PERSONAL,7.51,0.12,3,566,yes,0,
71f4c24a-6e72-4fd1-8d75-2276398c0afc,27,female,Master,51325,4,RENT,5000,MEDICAL,11.11,0.1,9,663,no,0,
71f5a1ff-042f-43bb-b973-1d3cf308179c,24,female,Master,49600,0,RENT,2800,VENTURE,6.99,0.06,4,603,yes,0,
71f7776c-7c29-4185-9dbc-026a14ebd478,34,male,Associate,67824,12,RENT,10450,PERSONAL,7.51,0.15,10,562,no,0,
71f8735f-73c2-48b7-9f10-2f68778be9f3,23,female,Bachelor,40498,0,RENT,7000,DEBTCONSOLIDATION,13.61,0.17,4,633,yes,0,
71fc5d4c-3b9f-4fc5-b227-f58efb4fbedc,25,female,High School,76614,4,MORTGAGE,3898,HOMEIMPROVEMENT,12.36,0.05,4,626,no,1,
71fd9e14-e74a-45d8-8885-b2a8038ffaa2,26,male,Associate,77718,2,MORTGAGE,12000,EDUCATION,11.71,0.15,3,561,yes,0,
71fe02ac-d0d0-41f5-a96d-4f9a978aabb0,27,female,High School,35580,3,RENT,3000,EDUCATION,7.88,0.08,7,555,no,1,
71fe02c3-1039-4645-a7aa-f2d4262df84d,70,male,Bachelor,36838,47,RENT,1000,DEBTCONSOLIDATION,17.49,0.03,21,643,no,1,
71fe70e5-f619-4570-8556-ca3e7d69b11e,24,female,Bachelor,85101,0,MORTGAGE,6000,VENTURE,7.88,0.07,3,652,no,0,
71fff0d8-c879-424b-a7ad-9b0589c77ca9,35,female,Associate,178817,11,MORTGAGE,25000,DEBTCONSOLIDATION,14.62,0.14,10,608,no,1,
