loan_uuid,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_owner,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
0000134a-cf45-47e3-821a-ba394bb8be83,32,female,High School,346907,10,MORTGAGE,25000,DEBTCONSOLIDATION,14.83,0.07,10,614,no,1
0003c087-14e9-49d0-a9ff-7eaff5f3a100,30,male,Associate,121659,6,MORTGAGE,10000,EDUCATION,16.77,0.08,10,643,no,0
000425c4-048b-4ce0-948c-22894e36ca46,29,male,Bachelor,54863,5,RENT,7500,EDUCATION,11.01,0.14,5,652,yes,0
00052e3d-10f4-4eeb-b1b7-e56defb66691,47,male,Doctorate,49018,21,RENT,3600,EDUCATION,7.95,0.07,18,727,no,0
0006ae2a-e295-4625-a177-afe79de8b98c,27,female,Master,43342,4,MORTGAGE,12000,VENTURE,7.83,0.28,7,691,no,0
00098d2a-8f06-43e0-b238-2d67984f8072,26,female,Associate,25937,3,OWN,8000,VENTURE,13.79,0.31,2,663,yes,0
000a1dfd-98f0-4c5f-8608-03fe2bd9a92b,31,male,Master,113947,10,RENT,11000,HOMEIMPROVEMENT,7.49,0.1,9,654,no,0
000b56ce-f037-43d4-ac9d-917c5b20de33,30,female,Master,48514,9,MORTGAGE,6000,MEDICAL,7.75,0.12,5,591,yes,0
000bfed9-5674-4911-b6d1-53155dea3c3f,28,male,Bachelor,29810,2,MORTGAGE,6229,VENTURE,12.61,0.21,7,613,yes,0
000f2114-ff92-42c6-996e-692b6ec0a9f0,35,female,High School,130952,14,RENT,7000,PERSONAL,11.01,0.05,7,529,yes,0
000f6824-ab36-43b3-8222-5cc35bff4743,27,male,High School,65761,4,RENT,20000,MEDICAL,10.99,0.3,8,599,no,1
001018c3-0ec2-442b-87d4-25e71e700809,25,male,Bachelor,84914,3,RENT,19077,MEDICAL,8.73,0.22,6,697,yes,0
0010bb55-edc6-4552-ba84-535538c6e560,23,female,Bachelor,77863,0,RENT,7200,MEDICAL,15.96,0.09,3,602,yes,0
0013659f-6f29-4c44-8d9f-9cd668d4489c,32,female,Associate,72939,10,RENT,6000,DEBTCONSOLIDATION,10.36,0.08,7,614,yes,0
0017f10d-9213-493f-a613-80ef43c9bd4e,23,female,High School,41847,2,RENT,3000,VENTURE,10,0.07,4,654,yes,0
00194e8c-d3eb-4382-ae53-9c5ae9e6180c,24,female,Bachelor,46702,6,OWN,3000,EDUCATION,13.35,0.06,2,625,yes,0
001aeb2e-f093-4997-a044-ac1fe1f8e6c9,23,male,Associate,34728,1,MORTGAGE,8400,VENTURE,10.99,0.24,2,661,no,0
001b4a52-96e5-4a6d-adde-1eb9e2dc1067,24,female,Bachelor,34643,6,RENT,3000,MEDICAL,10.25,0.09,3,646,no,0
001db7de-f3df-46e1-a487-4611fe36195f,25,male,Associate,59730,4,OWN,3000,VENTURE,11.01,0.05,3,644,no,0
001e648c-2217-4bb7-9894-a17fbca233a7,30,female,Bachelor,30784,7,RENT,12000,MEDICAL,10.92,0.39,8,607,no,1
0021632e-cb55-4f42-9d66-53f89a063931,28,male,High School,91113,6,MORTGAGE,16800,MEDICAL,6.03,0.18,8,665,yes,0
0021e91e-c4d6-40c8-948d-9e2af6828726,25,male,Bachelor,63273,0,RENT,7200,EDUCATION,12.69,0.11,3,576,yes,0
0023800e-2609-46f9-bc65-1af445d6eea5,26,male,Associate,114040,4,MORTGAGE,5000,MEDICAL,7.68,0.04,3,636,yes,0
00270079-48cb-4753-a711-8d8ba807ec59,22,male,Bachelor,43080,0,MORTGAGE,4000,VENTURE,7.29,0.09,2,646,yes,0
0027bb24-502d-4608-a87e-2a985ff93e2f,30,female,Associate,49021,8,RENT,2500,VENTURE,5.79,0.05,10,614,yes,0
0029ae39-1431-4903-a29e-f1f9432d9017,28,male,High School,108832,6,MORTGAGE,12000,EDUCATION,8.15,0.11,8,548,no,0
002dbbb0-a17d-4c4a-bb77-8b6c18cf7e68,23,male,Master,53884,2,RENT,9500,EDUCATION,11.26,0.18,2,667,yes,0
002df1e2-939b-4342-9875-5ff59c6176fa,24,female,High School,48826,0,MORTGAGE,6400,EDUCATION,9.91,0.13,4,639,no,0
0031ec0d-51ee-405c-91aa-bb6527a8e9fd,37,female,High School,78923,14,MORTGAGE,11022,HOMEIMPROVEMENT,9.69,0.14,15,595,yes,0
00345f01-634f-47b2-8967-63975962fbad,24,female,Bachelor,144882,2,RENT,24000,VENTURE,12.69,0.17,4,646,yes,0
